Jaar,Week,Overledenen,Verwacht_aantal_overledenen,Verwacht_aantal_overledenen_laag,Verwacht_aantal_overledenen_hoog
2020,1,3103,3277,2908,3645
2020,2,3364,3311,2930,3692
2020,3,3157,3344,2945,3742
2020,4,3046,3392,3008,3776
2020,5,3164,3407,3027,3788
2020,6,3196,3401,2979,3823
2020,7,3198,3408,2916,3901
2020,8,2959,3387,2851,3922
2020,9,3098,3352,2805,3898
2020,10,3107,3315,2785,3845
2020,11,3218,3253,2756,3751
2020,12,3614,3174,2711,3637
2020,13,4458,3104,2703,3505
2020,14,5085,3024,2712,3337
2020,15,4982,2957,2719,3195
2020,16,4308,2915,2711,3120
2020,17,3910,2869,2677,3060
2020,18,3383,2841,2650,3032
2020,19,2989,2821,2633,3009
2020,20,2777,2794,2626,2962
2020,21,2770,2770,2620,2920
2020,22,2732,2753,2608,2898
2020,23,2682,2735,2591,2880
2020,24,2689,2737,2600,2875
2020,25,2696,2725,2594,2855
2020,26,2659,2717,2577,2857
2020,27,2638,2723,2544,2902
2020,28,2619,2719,2515,2923
2020,29,2528,2720,2507,2934
2020,30,2673,2707,2515,2900
2020,31,2666,2687,2492,2882
2020,32,2642,2682,2483,2881
2020,33,3209,2669,2481,2857
2020,34,2856,2663,2510,2815
2020,35,2735,2667,2526,2807
2020,36,2692,2676,2549,2804
2020,37,2742,2698,2564,2832
2020,38,2721,2729,2585,2873
2020,39,2891,2752,2618,2886
2020,40,3002,2786,2628,2943
2020,41,3022,2807,2655,2960
2020,42,3222,2839,2677,3001
2020,43,3448,2862,2661,3063
2020,44,3687,2889,2683,3095
2020,45,3589,2902,2692,3111
2020,46,3580,2932,2710,3155
2020,47,3335,2972,2742,3202
2020,48,3405,3012,2762,3263
2020,49,3530,3037,2742,3332
2020,50,3615,3100,2800,3399
2020,51,3909,3166,2830,3501
2020,52,3867,3222,2871,3573
2020,53,4103,3266,2906,3625
2021,1,4145,3309,2940,3677
2021,2,3850,3343,2962,3724
2021,3,3863,3376,2978,3775
2021,4,3714,3425,3040,3809
2021,5,3655,3440,3060,3821
2021,6,3551,3434,3012,3856
