Jaar,Week,Wlzzorggebruikers,Wlzzorggebruikers_verwacht,Wlzzorggebruikers_laag,Wlzzorggebruikers_hoog,Overigebevolking,Overigebevolking_verwacht,Overigebevolking_laag,Overigebevolking_hoog
2020,1,1210,1252,1052,1451,1893,2025,1780,2270
2020,2,1265,1272,1076,1468,2099,2039,1793,2285
2020,3,1135,1282,1086,1478,2022,2062,1805,2319
2020,4,1125,1301,1113,1489,1921,2091,1842,2339
2020,5,1098,1310,1118,1503,2066,2097,1853,2341
2020,6,1142,1309,1099,1519,2054,2092,1826,2358
2020,7,1155,1309,1069,1549,2043,2099,1796,2403
2020,8,1129,1296,1044,1549,1830,2091,1762,2419
2020,9,1195,1276,1005,1546,1903,2076,1756,2396
2020,10,1164,1260,989,1531,1943,2056,1752,2359
2020,11,1200,1229,950,1507,2018,2025,1741,2308
2020,12,1336,1191,928,1454,2278,1983,1714,2252
2020,13,1656,1156,912,1400,2802,1948,1715,2180
2020,14,2212,1120,915,1326,2873,1904,1709,2100
2020,15,2409,1091,910,1273,2573,1866,1709,2022
2020,16,2066,1075,912,1238,2242,1840,1691,1990
2020,17,1716,1055,898,1211,2194,1814,1663,1965
2020,18,1429,1048,900,1195,1954,1793,1643,1944
2020,19,1186,1038,897,1179,1803,1783,1631,1935
2020,20,1031,1029,902,1155,1746,1765,1615,1915
2020,21,1069,1015,892,1138,1701,1755,1615,1895
2020,22,1004,1007,887,1127,1728,1746,1602,1890
2020,23,909,995,886,1104,1773,1740,1585,1895
2020,24,958,997,888,1106,1731,1740,1592,1889
2020,25,913,989,879,1099,1783,1736,1585,1886
2020,26,940,985,864,1107,1719,1732,1585,1879
2020,27,932,992,850,1134,1706,1731,1567,1896
2020,28,911,998,849,1147,1708,1721,1552,1890
2020,29,900,1003,855,1152,1628,1717,1555,1879
2020,30,957,1004,854,1154,1716,1704,1553,1855
2020,31,946,997,851,1143,1720,1690,1540,1840
2020,32,904,993,846,1140,1738,1690,1546,1834
2020,33,1311,987,840,1134,1898,1682,1531,1832
2020,34,1113,980,849,1111,1743,1683,1553,1813
2020,35,995,974,860,1087,1740,1693,1550,1835
2020,36,942,973,860,1087,1750,1703,1562,1844
2020,37,942,977,865,1089,1800,1721,1579,1862
2020,38,980,989,876,1102,1741,1740,1594,1886
2020,39,1054,1001,892,1110,1837,1751,1606,1896
2020,40,1076,1015,897,1133,1926,1771,1632,1909
2020,41,1090,1028,908,1147,1932,1780,1638,1922
2020,42,1219,1042,910,1175,2003,1797,1663,1930
2020,43,1317,1054,912,1195,2131,1808,1650,1966
2020,44,1520,1068,920,1215,2167,1821,1662,1981
2020,45,1391,1074,925,1224,2198,1827,1664,1991
2020,46,1424,1086,936,1235,2156,1846,1678,2014
2020,47,1287,1102,953,1252,2048,1870,1684,2056
2020,48,1287,1121,964,1278,2118,1892,1702,2081
2020,49,1286,1135,970,1300,2244,1901,1683,2120
2020,50,1452,1163,996,1329,2163,1937,1721,2153
2020,51,1607,1193,1019,1368,2302,1972,1739,2205
2020,52,1727,1223,1035,1410,2140,1999,1763,2236
2020,53,1733,1244,1050,1437,2376,2022,1781,2263
2021,1,1657,1264,1065,1463,2486,2045,1799,2290
2021,2,1588,1284,1089,1480,2262,2059,1813,2305
2021,3,1539,1294,1098,1491,2323,2082,1825,2339
2021,4,1465,1313,1125,1501,2249,2111,1863,2360
2021,5,1437,1323,1131,1515,2216,2117,1874,2361
2021,6,1351,1322,1112,1532,2199,2112,1846,2379
2021,7,1366,1322,1082,1562,2163,2120,1816,2423
2021,8,1159,1309,1056,1561,2046,2111,1783,2439
2021,9,1105,1288,1018,1559,1999,2096,1776,2416
2021,10,1147,1272,1001,1543,2097,2075,1772,2379
2021,11,997,1241,962,1519,2045,2044,1761,2328
2021,12,1046,1203,939,1466,2000,2002,1733,2271
2021,13,1030,1167,923,1412,2146,1967,1734,2199
2021,14,992,1131,925,1337,2172,1923,1727,2118
2021,15,978,1102,920,1283,2162,1884,1727,2040
2021,16,973,1085,922,1248,2170,1858,1708,2008
2021,17,1043,1065,908,1221,2077,1832,1681,1983
2021,18,1009,1058,910,1205,1997,1811,1660,1961
2021,19,1005,1048,907,1189,2012,1800,1648,1952
2021,20,992,1039,912,1165,1996,1782,1632,1933
2021,21,987,1025,902,1147,1818,1772,1632,1912
2021,22,1070,1017,897,1137,1939,1763,1619,1907
2021,23,996,1005,896,1114,1886,1757,1602,1912
2021,24,1061,1007,897,1116,1809,1757,1609,1906
2021,25,960,999,889,1109,1713,1752,1602,1903
2021,26,986,995,874,1116,1805,1749,1601,1896
2021,27,1037,1002,859,1144,1800,1748,1584,1913
2021,28,1038,1008,858,1157,1834,1737,1569,1906
