ID;Geslacht;LeeftijdOp31December;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
0;T001038;10010;MW00000;1981JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
1;T001038;10010;MW00000;1982JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
2;T001038;10010;MW00000;1983JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
3;T001038;10010;MW00000;1984JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
4;T001038;10010;MW00000;1985JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
5;T001038;10010;MW00000;1986JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
6;T001038;10010;MW00000;1987JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
7;T001038;10010;MW00000;1988JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
8;T001038;10010;MW00000;1989JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
9;T001038;10010;MW00000;1990JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
10;T001038;10010;MW00000;1991JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
11;T001038;10010;MW00000;1992JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
12;T001038;10010;MW00000;1993JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
13;T001038;10010;MW00000;1994JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
14;T001038;10010;MW00000;1995JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
15;T001038;10010;MW00000;1996JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
16;T001038;10010;MW00000;1997JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
17;T001038;10010;MW00000;1998JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
18;T001038;10010;MW00000;1999JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
19;T001038;10010;MW00000;2000JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
20;T001038;10010;MW00000;2001JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
21;T001038;10010;MW00000;2002JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
22;T001038;10010;MW00000;2003JJ00;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .
