ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
1;1100;10000;1995W101;2719
2;1100;10000;1995W102;2823
3;1100;10000;1995W103;2609
4;1100;10000;1995W104;2664
5;1100;10000;1995W105;2577
6;1100;10000;1995W106;2536
7;1100;10000;1995W107;2551
8;1100;10000;1995W108;2510
9;1100;10000;1995W109;2490
10;1100;10000;1995W110;2770
11;1100;10000;1995W111;2800
12;1100;10000;1995W112;2786
13;1100;10000;1995W113;2634
14;1100;10000;1995W114;2717
15;1100;10000;1995W115;2645
16;1100;10000;1995W116;2691
17;1100;10000;1995W117;2645
18;1100;10000;1995W118;2628
19;1100;10000;1995W119;2486
20;1100;10000;1995W120;2482
21;1100;10000;1995W121;2468
22;1100;10000;1995W122;2485
23;1100;10000;1995W123;2319
24;1100;10000;1995W124;2352
25;1100;10000;1995W125;2498
26;1100;10000;1995W126;2663
27;1100;10000;1995W127;2489
28;1100;10000;1995W128;2808
29;1100;10000;1995W129;2451
30;1100;10000;1995W130;2466
31;1100;10000;1995W131;2744
32;1100;10000;1995W132;2473
33;1100;10000;1995W133;2380
34;1100;10000;1995W134;2427
35;1100;10000;1995W135;2278
36;1100;10000;1995W136;2362
37;1100;10000;1995W137;2348
38;1100;10000;1995W138;2437
39;1100;10000;1995W139;2366
40;1100;10000;1995W140;2525
41;1100;10000;1995W141;2600
42;1100;10000;1995W142;2417
43;1100;10000;1995W143;2455
44;1100;10000;1995W144;2573
45;1100;10000;1995W145;2533
46;1100;10000;1995W146;2691
47;1100;10000;1995W147;2613
48;1100;10000;1995W148;2646
49;1100;10000;1995W149;2826
50;1100;10000;1995W150;3098
51;1100;10000;1995W151;3291
52;1100;10000;1995W152;3436
54;1100;10000;1996W101;3546
55;1100;10000;1996W102;3257
56;1100;10000;1996W103;2970
57;1100;10000;1996W104;2855
58;1100;10000;1996W105;2992
59;1100;10000;1996W106;3089
60;1100;10000;1996W107;3046
61;1100;10000;1996W108;2887
62;1100;10000;1996W109;2878
63;1100;10000;1996W110;2714
64;1100;10000;1996W111;2807
65;1100;10000;1996W112;2784
66;1100;10000;1996W113;2727
67;1100;10000;1996W114;2765
68;1100;10000;1996W115;2642
69;1100;10000;1996W116;2856
70;1100;10000;1996W117;2703
71;1100;10000;1996W118;2498
72;1100;10000;1996W119;2519
73;1100;10000;1996W120;2598
74;1100;10000;1996W121;2514
75;1100;10000;1996W122;2523
76;1100;10000;1996W123;2752
77;1100;10000;1996W124;2506
78;1100;10000;1996W125;2366
79;1100;10000;1996W126;2376
80;1100;10000;1996W127;2433
81;1100;10000;1996W128;2490
82;1100;10000;1996W129;2467
83;1100;10000;1996W130;2500
84;1100;10000;1996W131;2285
85;1100;10000;1996W132;2449
86;1100;10000;1996W133;2357
87;1100;10000;1996W134;2364
88;1100;10000;1996W135;2273
89;1100;10000;1996W136;2150
90;1100;10000;1996W137;2275
91;1100;10000;1996W138;2523
92;1100;10000;1996W139;2582
93;1100;10000;1996W140;2467
94;1100;10000;1996W141;2417
95;1100;10000;1996W142;2377
96;1100;10000;1996W143;2465
97;1100;10000;1996W144;2404
98;1100;10000;1996W145;2513
99;1100;10000;1996W146;2537
100;1100;10000;1996W147;2636
101;1100;10000;1996W148;2591
102;1100;10000;1996W149;2604
103;1100;10000;1996W150;2708
104;1100;10000;1996W151;2773
105;1100;10000;1996W152;2893
106;1100;10000;1996W153;858
108;1100;10000;1997W101;2268
109;1100;10000;1997W102;3290
110;1100;10000;1997W103;3249
111;1100;10000;1997W104;3185
112;1100;10000;1997W105;3061
113;1100;10000;1997W106;3012
114;1100;10000;1997W107;2980
115;1100;10000;1997W108;2807
116;1100;10000;1997W109;2792
117;1100;10000;1997W110;2640
118;1100;10000;1997W111;2529
119;1100;10000;1997W112;2467
120;1100;10000;1997W113;2483
121;1100;10000;1997W114;2546
122;1100;10000;1997W115;2451
123;1100;10000;1997W116;2455
124;1100;10000;1997W117;2649
125;1100;10000;1997W118;2646
126;1100;10000;1997W119;2437
127;1100;10000;1997W120;2611
128;1100;10000;1997W121;2483
129;1100;10000;1997W122;2426
130;1100;10000;1997W123;2709
131;1100;10000;1997W124;2555
132;1100;10000;1997W125;2391
133;1100;10000;1997W126;2372
134;1100;10000;1997W127;2409
135;1100;10000;1997W128;2486
